Stravinsky|The Rite of Spring
Ravel|Daphnis et Chloé, M 57
Messiaen|Quatuor pour la Fin du Temps
Bartók|Concerto for Orchestra, Sz. 116, BB 123
Vaughan Williams|Fantasia on a Theme by Thomas Tallis
Stravinsky|The Firebird
Debussy|La mer, L 109
Prokofiev|Romeo and Juliet, Op. 64
Shostakovich|Symphony No. 5 in D minor, Op. 47
Berg|Violin Concerto
Bartók|Music for Strings, Percussion and Celesta, Sz. 106, BB 114
Messiaen|Turangalîla-Symphonie
Pärt|Tabula Rasa
Shostakovich|String Quartet No. 8 in C minor, Op. 110
Prokofiev|Symphony No. 5 in B-flat major, Op. 100
Ravel|Piano Concerto in G major, M 83
Berg|Wozzeck, Op. 7
Stravinsky|Petrushka
Varèse|Amériques
Shotakovich|Symphony No. 10 in E minor, Op. 93
Debussy|Préludes, Books 1 and 2, L 117 and L 123
Schoenberg|Pierrot Lunaire, Op. 21
Bartók|String Quartet No. 4, Sz. 91, BB 95
Penderecki|Threnody to the Victims of Hiroshima
Ligeti|Études, Books 1, 2 and 3
Prokofiev|Piano Concerto No. 3 in C major, Op. 26
Bartók|Violin Concerto No. 2, Sz. 112, BB 117
Britten|War Requiem, Op. 66
Ravel|String Quartet in F major, M 35
Reich|Music for 18 Musicians
Stravinsky|Symphony of Psalms
Ravel|Gaspard de la nuit, M 55
Gorecki|Symphony No. 3 'Symphony of Sorrowful Songs', Op. 36
Copland|Appalachian Spring
Nielsen|Symphony No. 5, Op. 50, FS 97
Ives|The Unanswered Question
Webern|Symphony, Op. 21
Lutosławski|Symphony No. 3
Pärt|Fratres
Berg|Lyric Suite
Barber|Violin Concerto, Op. 14
Debussy|Jeux, L 126
Gershwin|Rhapsody in Blue
Ligeti|Lux Aeterna
Barber|Knoxville: Summer of 1915, Op. 24
Adams|The Dharma at Big Sur
Honegger|Symphony No. 3 'Symphonie Liturgique', H 186
Villa-Lobos|Bachianas Brasileiras
Crumb|Black Angels
Bartók|Piano Concerto No. 1, Sz. 83, BB 91
Bartók|Piano Concerto No. 2 in G major, Sz. 95, BB 101
Debussy|Pelléas et Mélisande, L 88
Janáček|String Quartet No. 2 'Intimate Letters'
Hindemith|Symphony: Mathis der Maler
Scelsi|Uaxuctum
Janáček|Sinfonietta
Hindemith|Symphonic Metamorphosis of Themes by Carl Maria von Weber
Gershwin|An American in Paris
Glass|Akhnaten
Prokofiev|Piano Concerto No. 2 in G minor, Op. 16
Bartók|String Quartet No. 5, Sz. 102, BB 110
Bartók|The Miraculous Mandarin, Op. 19, Sz. 73, BB 82
Schoenberg|Moses und Aron
Ligeti|Atmosphères
Debussy|Images, Sets 1 and 2, L 110 and L 111
Shostakovich|24 Preludes and Fugues, Op. 87
Shostakovich|Piano Trio No. 2 in E minor, Op. 67
Reich|Different Trains
Schnittke|Concerto Grosso No. 1
Adams|Nixon in China
Gershwin|Porgy and Bess
Varèse|Déserts
Stravinsky|Agon
Messiaen|Vingt regards sur l'enfant-Jésus
Ligeti|Requiem
Xenakis|Metastasis
Adams|Harmonielehre
Prokofiev|Cinderella, Op. 87
Lutosławski|Concerto for Orchestra
Schoenberg|Five Pieces for Orchestra, Op. 16
Webern|Six Pieces for Orchestra, Op. 6
Bartók|Piano Concerto No. 3 in E major, Sz. 119, BB 127
Messiaen|Saint François d'Assise
Janáček|String Quartet No. 1 'Kreutzer Sonata'
Berg|Piano Sonata, Op. 1
Penderecki|St. Luke Passion
Stravinsky|Concerto in E-flat 'Dumbarton Oaks'
Szymanowski|Stabat Mater
Penderecki|Symphony No. 7 'Seven Gates of Jerusalem'
Prokofiev|Piano Sonata No. 7 in B-flat major 'Stalingrad', Op. 83
Ligeti|Piano Concerto
Ravel|Piano Trio in A minor, M 67
Poulenc|Gloria, FP 177
Brian|Symphony No. 1 in D minor 'The Gothic'
Debussy|Images, Set 3 'Images pour orchestre', L 122
Cage|Sonatas and Interludes
Stravinsky|Symphony in Three Movements
Shostakovich|String Quartet No. 3 in F major, Op. 73
Feldman|Rothko Chapel
Britten|Peter Grimes, Op. 33
Ravel|Miroirs, M 43
Messiaen|L'ascension
Ives|Three Places in New England
Messiaen|Éclairs sur l'au-delà...
Ligeti|Chamber Concerto
Berg|Lulu
Schoenberg|Piano Concerto, Op. 42
Vaughan Williams|Flos Campi
Stockhausen|Gruppen
Schoenberg|String Quartet No. 2, Op. 10
Varèse|Ionisation
Ives|Piano Sonata No. 2 'Concord'
Ravel|Le tombeau de Couperin, M 68
Stravinsky|The Soldier's Tale
Schoenberg|A Survivor in Warsaw, Op. 46
Prokofiev|Symphony No. 6 in E-flat minor, Op. 111
Debussy|Cello Sonata, L 135
Bartók|Divertimento for String Orchestra, Sz. 113 BB 118
Ligeti|Le grand macabre
